source,target,sign,source_db,confidence
E2F4,MYBL2,1,gold_standard,
E2F4,RAD51,-1,gold_standard,
E2F4,RB1,-1,gold_standard,
E2F8,E2F1,-1,gold_standard,
E4F1,CCNA2,-1,gold_standard,
E4F1,IDS,1,gold_standard,
EBF1,ZFP423,-1,gold_standard,
EGR1,BNIP3,-1,gold_standard,
EGR1,CDK5R1,1,gold_standard,
EGR1,CDKN1C,1,gold_standard,
EGR1,CHRNA7,-1,gold_standard,
EGR1,CREBBP,1,gold_standard,
EGR1,GGPS1,1,gold_standard,
EGR1,ICAM1,1,gold_standard,
EGR1,ID3,1,gold_standard,
EGR1,JUND,1,gold_standard,
EGR1,MAP1LC3B,1,gold_standard,
EGR1,MAPK14,1,gold_standard,
EGR1,MAPK8,1,gold_standard,
EGR1,MET,-1,gold_standard,
EGR1,MMP14,1,gold_standard,
EGR1,NGFR,1,gold_standard,
EGR1,NR4A1,1,gold_standard,
EGR1,PTEN,1,gold_standard,
EGR1,PTGES,1,gold_standard,
EGR1,PTPRZ1,1,gold_standard,
EGR1,STIM1,1,gold_standard,
EGR1,THBS1,1,gold_standard,
EGR1,TK1,1,gold_standard,
EGR1,TNF,1,gold_standard,
EGR1,TRP53,1,gold_standard,
EHMT2,POU5F1,1,gold_standard,
EIF2AK2,STAT1,-1,gold_standard,
ELF1,EPHA7,1,gold_standard,
ELF1,FCER1G,-1,gold_standard,
ELF1,RHOX5,1,gold_standard,
ELF1,TOLLIP,-1,gold_standard,
ELF2,CD3D,1,gold_standard,
ELF3,TGFBR2,1,gold_standard,
ELF4,MSX2,1,gold_standard,
ELF4,TRP53,-1,gold_standard,
ELK1,FOS,1,gold_standard,
ELK1,HMOX1,1,gold_standard,
ELK1,IL6,1,gold_standard,
ELK3,PCYT1A,-1,gold_standard,
ELL3,TRP53,-1,gold_standard,
ELL3,ZEB1,1,gold_standard,
ELL3,ZEB2,1,gold_standard,
ELP2,POU5F1,1,gold_standard,
ELP3,POU5F1,1,gold_standard,
EMX2,PAX6,-1,gold_standard,
EOMES,SOX2,-1,gold_standard,
EP300,CCND1,-1,gold_standard,
EP300,CDKN1A,1,gold_standard,
EP300,CPT1B,1,gold_standard,
EP300,CRYAB,1,gold_standard,
EP300,DNMT1,1,gold_standard,
EP300,FOS,1,gold_standard,
EP300,HMOX1,1,gold_standard,
EP300,HINFP,1,gold_standard,
EP300,MT1,1,gold_standard,
EP300,NPR1,1,gold_standard,
EP300,SPP1,1,gold_standard,
EP300,STAT5A,1,gold_standard,
EPAS1,CDH5,1,gold_standard,
EPAS1,CITED2,1,gold_standard,
EPAS1,FLT1,1,gold_standard,
EPAS1,FXN,-1,gold_standard,
EPAS1,KDR,1,gold_standard,
EPAS1,POU5F1,1,gold_standard,
EPAS1,RUNX2,1,gold_standard,
ERF,UTRN,-1,gold_standard,
ESRRA,NRIP1,1,gold_standard,
ESRRA,SPP1,1,gold_standard,
ESRRB,NR0B1,1,gold_standard,
ESRRG,NR0B1,1,gold_standard,
ETS1,ANGPT2,1,gold_standard,
ETS1,ANPEP,1,gold_standard,
ETS1,BMP4,1,gold_standard,
ETS1,CD3D,1,gold_standard,
ETS1,CDKN2A,1,gold_standard,
ETS1,HMOX1,1,gold_standard,
ETS1,ITGA2B,1,gold_standard,
ETS1,KDR,1,gold_standard,
ETS1,NPR1,1,gold_standard,
ETS1,PCYT1A,1,gold_standard,
ETS1,PRDM1,-1,gold_standard,
ETS1,RNF11,1,gold_standard,
ETS1,RUNX2,1,gold_standard,
ETS1,SPP1,1,gold_standard,
ETS1,TGFBR2,1,gold_standard,
ETS1,VWF,1,gold_standard,
ETS1,ZEB1,1,gold_standard,
ETS2,BCL2L1,1,gold_standard,
ETS2,CDKN2A,1,gold_standard,
ETS2,HMOX1,1,gold_standard,
ETS2,HMOX2,1,gold_standard,
ETS2,KRT8,1,gold_standard,
ETS2,MDM2,1,gold_standard,
ETS2,NAB2,1,gold_standard,
ETS2,PCYT1A,1,gold_standard,
ETS2,STAB1,1,gold_standard,
ETV1,EBF1,-1,gold_standard,
ETV1,FGF10,1,gold_standard,
ETV1,NAB2,1,gold_standard,
ETV4,CCND2,1,gold_standard,
ETV4,ERBB2,-1,gold_standard,
ETV4,TERT,1,gold_standard,
ETV4,TWIST1,1,gold_standard,
ETV4,VIM,1,gold_standard,
ETV4,ZHX1,1,gold_standard,
ETV5,IL17F,1,gold_standard,
EWSR1,FGF10,1,gold_standard,
EWSR1,TERT,1,gold_standard,
EWSR1,UPP1,1,gold_standard,
EZH1,TOLLIP,-1,gold_standard,
EZH2,BAD,-1,gold_standard,
EZH2,IL17F,1,gold_standard,
EZH2,NANOG,-1,gold_standard,
FHL2,FOS,1,gold_standard,
FMR1,RAC1,-1,gold_standard,
FOS,FOS,-1,gold_standard,
FOS,GNRH1,-1,gold_standard,
FOS,KRT18,1,gold_standard,
FOS,NACC1,1,gold_standard,
FOS,NEFL,1,gold_standard,
FOS,NFE2L2,-1,gold_standard,
FOS,NR3C1,1,gold_standard,
FOS,PENK,1,gold_standard,
FOS,SRC,1,gold_standard,
FOS,SRR,1,gold_standard,
FOS,SRXN1,1,gold_standard,
FOS,TGFB1,1,gold_standard,
FOSL2,RELB,1,gold_standard,
FOSL2,TGFB1,1,gold_standard,
FOXA2,HADH,1,gold_standard,
FOXA2,IL33,-1,gold_standard,
FOXA2,LMX1A,1,gold_standard,
FOXA2,SOX17,1,gold_standard,
FOXA2,SOX2,-1,gold_standard,
FOXA2,TLE4,-1,gold_standard,
FOXA2,WNT7B,1,gold_standard,
FOXD3,GRB2,1,gold_standard,
FOXH1,MEF2C,1,gold_standard,
FOXJ3,MEF2C,1,gold_standard,
FOXM1,AXIN2,1,gold_standard,
FOXM1,LAMA4,1,gold_standard,
FOXM1,MYC,1,gold_standard,
FOXM1,POU5F1,1,gold_standard,
FOXM1,SNAI1,1,gold_standard,
FOXM1,SOCS3,1,gold_standard,
FOXO1,ADIPOR1,1,gold_standard,
FOXO1,AKT1,1,gold_standard,
FOXO1,ALPL,1,gold_standard,
FOXO1,BAX,-1,gold_standard,
FOXO1,CASP8,1,gold_standard,
FOXO1,CCND1,-1,gold_standard,
FOXO1,CCND2,-1,gold_standard,
FOXO1,CCNG2,1,gold_standard,
FOXO1,CDKN1A,1,gold_standard,
FOXO1,CDKN1B,1,gold_standard,
FOXO1,EGR1,-1,gold_standard,
FOXO1,INS2,-1,gold_standard,
FOXO1,LPL,1,gold_standard,
FOXO1,NOS3,-1,gold_standard,
FOXO1,PDK4,1,gold_standard,
FOXO1,PIK3R1,1,gold_standard,
FOXO1,SREBF1,-1,gold_standard,
FOXO1,TRIB3,-1,gold_standard,
FOXO3,CCND1,-1,gold_standard,
FOXO3,CCND2,-1,gold_standard,
FOXO3,CCNG2,1,gold_standard,
FOXO3,CDKN1B,1,gold_standard,
FOXO3,GADD45A,1,gold_standard,
FOXO3,SIRT1,1,gold_standard,
FOXO3,SOCS3,1,gold_standard,
FOXO4,CCND1,-1,gold_standard,
FOXO4,CCND2,-1,gold_standard,
FOXO4,GADD45A,1,gold_standard,
FOXO4,RBL2,1,gold_standard,
FOXP1,FGF3,1,gold_standard,
FOXQ1,CDH1,-1,gold_standard,
FUS,MDM2,-1,gold_standard,
GABPA,SKP2,1,gold_standard,
GATA1,CDC6,1,gold_standard,
GATA1,FCER1G,1,gold_standard,
GATA1,SIGMAR1,1,gold_standard,
GATA1,TFDP2,1,gold_standard,
GATA1,ZFP26,-1,gold_standard,
GATA2,ANGPT2,1,gold_standard,
GATA2,CEBPA,-1,gold_standard,
GATA2,RC3H1,1,gold_standard,
GATA2,SMAD6,1,gold_standard,
GATA3,CDKN2C,-1,gold_standard,
GATA3,DLC1,1,gold_standard,
GATA3,FGF10,1,gold_standard,
GATA3,RUNX3,-1,gold_standard,
GATA4,ADORA1,1,gold_standard,
GATA4,CCND2,1,gold_standard,
GATA4,DMRT1,1,gold_standard,
GATA4,HSPA5,1,gold_standard,
GATA4,ID2,1,gold_standard,
GATA4,IFI204,1,gold_standard,
GATA4,NPPA,1,gold_standard,
GATA4,NPPB,1,gold_standard,
GATA6,TNNC1,1,gold_standard,
GATA6,TTF1,1,gold_standard,
GATA6,WNT7B,1,gold_standard,
GBX2,OTX2,-1,gold_standard,
GBX2,ROBO1,1,gold_standard,
GCFC2,EGFR,-1,gold_standard,
GLI1,CDH1,-1,gold_standard,
GLI1,FOXM1,1,gold_standard,
GLI1,PVR,1,gold_standard,
GLI1,RUNX2,1,gold_standard,
GLI1,RUNX3,1,gold_standard,
GLI2,BMP2,1,gold_standard,
GLI2,GLI1,1,gold_standard,
GLI2,HES1,1,gold_standard,
GLI2,IFITM5,1,gold_standard,
GLI2,PTCH1,1,gold_standard,
GLI3,GLI1,1,gold_standard,
GLI3,PITRM1,-1,gold_standard,
GLI3,PVR,1,gold_standard,
GLIS2,INS2,1,gold_standard,
GRIN1,COX4I1,1,gold_standard,
GTF2A2,BGLAP,1,gold_standard,
GTF2H1,KEAP1,1,gold_standard,
GTF2I,CCND1,1,gold_standard,
GTF2I,CSRP2,-1,gold_standard,
GTF2I,DLK1,-1,gold_standard,
GTF2I,FOLR1,-1,gold_standard,
GTF2I,FOS,1,gold_standard,
GTF2I,TGFB2,1,gold_standard,
GTF2I,TGFBR2,-1,gold_standard,
GTF2IRD1,CSRP2,-1,gold_standard,
GTF2IRD1,DLK1,-1,gold_standard,
GTF2IRD1,FOLR1,-1,gold_standard,
GTF2IRD1,TGFB2,1,gold_standard,
GTF2IRD1,TGFBR2,-1,gold_standard,
HDAC1,AKAP12,-1,gold_standard,
HDAC1,CD1D2,-1,gold_standard,
HDAC1,CDC25A,-1,gold_standard,
HDAC1,NFKBIA,-1,gold_standard,
HDAC1,PPP2CA,1,gold_standard,
HDAC1,SPP1,1,gold_standard,
HDAC2,CCNE1,-1,gold_standard,
HDAC2,CD1D2,-1,gold_standard,
HDAC2,NFKBIA,-1,gold_standard,
HDAC3,JUN,-1,gold_standard,
HDAC3,NFKBIA,-1,gold_standard,
HDAC4,RUNX2,-1,gold_standard,
HDGF,VEGFA,1,gold_standard,
HDGF,VEGFB,1,gold_standard,
HES1,CDKN1B,-1,gold_standard,
HES1,CDKN1C,-1,gold_standard,
HES1,CORO1A,-1,gold_standard,
HES1,MAP2,-1,gold_standard,
HES6,HES1,-1,gold_standard,
HEXIM1,CCND1,-1,gold_standard,
HEY2,GATA4,-1,gold_standard,
HEY2,GATA6,-1,gold_standard,
HEY2,NPPA,-1,gold_standard,
HIF1A,BACE1,1,gold_standard,
HIF1A,BSG,1,gold_standard,
HIF1A,CITED2,1,gold_standard,
HIF1A,CREBBP,1,gold_standard,
HIF1A,HEY2,1,gold_standard,
HIF1A,MDK,1,gold_standard,
HIF1A,MT1,1,gold_standard,
HIF1A,PFKFB3,1,gold_standard,
HIF1A,SNAI1,1,gold_standard,
HIF1A,VEGFA,1,gold_standard,
HMGA1,BRCA1,-1,gold_standard,
HMGA2,CDH1,-1,gold_standard,
HMGA2,MIA,-1,gold_standard,
HMGA2,NFKB1,1,gold_standard,
HMGA2,TWIST1,1,gold_standard,
HMGB2,RUNX2,-1,gold_standard,
HNF1A,CYP27A1,1,gold_standard,
HNF1A,KITL,1,gold_standard,
HNF1A,PRDM1,-1,gold_standard,
HNF1B,SOCS3,-1,gold_standard,
HNF4A,CEBPA,1,gold_standard,
HNF4A,CEBPB,1,gold_standard,
HNF4A,FOXA1,-1,gold_standard,
HNF4A,FOXA2,-1,gold_standard,
HNF4A,GSTP1,1,gold_standard,
HNF4A,GSTP2,1,gold_standard,
HNF4A,HMGA2,1,gold_standard,
HNF4A,PKLR,1,gold_standard,
HNF4A,PPARA,1,gold_standard,
HNF4A,SLC10A1,-1,gold_standard,
HNRNPD,CRY1,1,gold_standard,
HOXD13,BMP4,1,gold_standard,
HSF1,HSPA1B,1,gold_standard,
HSPB1,CDKN1A,1,gold_standard,
HTATIP2,IGF1,-1,gold_standard,
ID1,ALPL,-1,gold_standard,
ID1,CDKN1A,-1,gold_standard,
ID1,CDKN2A,-1,gold_standard,
ID1,REL,1,gold_standard,
ID1,RUNX2,-1,gold_standard,
ID1,THBS1,-1,gold_standard,
ID1,TNF,1,gold_standard,
ID2,ALPL,-1,gold_standard,
ID2,CCNA2,-1,gold_standard,
ID2,TCF3,-1,gold_standard,
ID2,RUNX2,-1,gold_standard,
ID2,TPT1,-1,gold_standard,
ID3,ALPL,-1,gold_standard,
ID3,NOTCH1,-1,gold_standard,
ID3,RUNX2,-1,gold_standard,
ID3,SMARCC1,-1,gold_standard,
IKBKB,CXCR4,1,gold_standard,
IKBKB,NFKB1,1,gold_standard,
IKBKB,NFKBIA,-1,gold_standard,
IKBKB,RPS6KB1,1,gold_standard,
IKBKB,TNF,1,gold_standard,
IKZF2,RC3H1,-1,gold_standard,
ILF2,ACRV1,1,gold_standard,
ILF3,ACRV1,1,gold_standard,
ILF3,CCNE1,1,gold_standard,
ING4,TRP53,1,gold_standard,
IRF1,CFB,1,gold_standard,
IRF1,HIST2H4,1,gold_standard,
IRF1,MAPK14,1,gold_standard,
IRF1,MYD88,1,gold_standard,
IRF1,SOCS1,1,gold_standard,
IRF1,TNF,1,gold_standard,
IRF2,HIST2H4,1,gold_standard,
IRF3,HIST2H4,1,gold_standard,
IRF3,PURA,-1,gold_standard,
IRF3,PVR,1,gold_standard,
IRF3,SOCS2,1,gold_standard,
IRF4,CDKN2B,1,gold_standard,
IRF4,NFATC2,1,gold_standard,
IRF4,PRDM1,1,gold_standard,
IRF4,RUNX3,-1,gold_standard,
IRF4,ZBTB20,1,gold_standard,
IRF5,PRDM1,1,gold_standard,
IRF7,HIST2H4,1,gold_standard,
IRF9,IRF7,1,gold_standard,
IRF9,MAST1,-1,gold_standard,
ISL1,FGF10,1,gold_standard,
ISL1,MEF2C,-1,gold_standard,
ISL1,PBX1,1,gold_standard,
ISL1,POU4F2,1,gold_standard,
JARID2,CCND1,-1,gold_standard,
JARID2,NOTCH1,-1,gold_standard,
JDP2,ATF3,-1,gold_standard,
JDP2,TRP53,-1,gold_standard,
JUN,ANGPT2,1,gold_standard,
JUN,B4GALNT1,1,gold_standard,
JUN,BCL3,1,gold_standard,
JUN,CAT,1,gold_standard,
JUN,CCND1,1,gold_standard,
JUN,CCND2,1,gold_standard,
JUN,CDKN2A,1,gold_standard,
JUN,CTSK,1,gold_standard,
JUN,FOS,-1,gold_standard,
JUN,GCLC,1,gold_standard,
JUN,SLC2A1,1,gold_standard,
JUN,GNRH1,1,gold_standard,
JUN,HMOX1,1,gold_standard,
JUN,ICAM1,1,gold_standard,
JUN,IL6,1,gold_standard,
JUN,ITGA5,1,gold_standard,
JUN,JUN,1,gold_standard,
JUN,KRT18,1,gold_standard,
JUN,MET,1,gold_standard,
JUN,NACC1,1,gold_standard,
JUN,NEFL,1,gold_standard,
JUN,NFE2L2,-1,gold_standard,
JUN,NFKB1,1,gold_standard,
JUN,NR3C1,1,gold_standard,
JUN,ODC1,1,gold_standard,
JUN,PENK,1,gold_standard,
JUN,PTPN4,1,gold_standard,
JUN,RAB18,1,gold_standard,
JUN,RELB,1,gold_standard,
JUN,SPP1,1,gold_standard,
JUN,SRXN1,1,gold_standard,
JUN,TBP,1,gold_standard,
JUN,TGFB1,1,gold_standard,
JUN,TGM1,1,gold_standard,
JUN,TRP53,-1,gold_standard,
JUNB,CCND1,-1,gold_standard,
JUNB,CTSK,1,gold_standard,
JUNB,MYL9,1,gold_standard,
KAT5,NPPA,1,gold_standard,
KAT5,PAX6,1,gold_standard,
KAT5,TPT1,-1,gold_standard,
KAT5,TRP53,1,gold_standard,
KCNIP3,GRIN1,-1,gold_standard,
KCNIP3,TNFAIP3,-1,gold_standard,
KEAP1,NFE2L2,-1,gold_standard,
KHDRBS1,ECE1,-1,gold_standard,
KLF10,ARNTL,-1,gold_standard,
KLF10,MYCN,-1,gold_standard,
KLF15,ACSS1,1,gold_standard,
KLF2,RELN,1,gold_standard,
KLF2,THBD,1,gold_standard,
KLF4,CCND2,1,gold_standard,
KLF4,CDH1,1,gold_standard,
KLF4,CDKN2B,1,gold_standard,
KLF4,CEBPB,1,gold_standard,
KLF4,LEFTY1,1,gold_standard,
KLF4,RLIM,1,gold_standard,
KLF4,TSIX,1,gold_standard,
KLF5,EGR1,1,gold_standard,
KLF5,PDGFA,1,gold_standard,
KLF5,RUNX2,1,gold_standard,
KLF5,TCL1,1,gold_standard,
KLF5,VEGFA,1,gold_standard,
KLF6,CDKN1A,1,gold_standard,
KLF6,PTTG1,-1,gold_standard,
KLF7,NTRK1,1,gold_standard,
KLF8,MMP14,1,gold_standard,
KLF9,TXNRD2,-1,gold_standard,
KPNA2,KLF2,1,gold_standard,
KPNA2,KLF4,1,gold_standard,
LDB1,RUNX1,1,gold_standard,
LDB1,TCF3,-1,gold_standard,
LHX2,ROBO2,1,gold_standard,
LMO2,RUNX1,1,gold_standard,
MAFG,NQO1,1,gold_standard,
MAFK,HMOX1,1,gold_standard,
MAFK,NQO1,1,gold_standard,
MAP3K7,NFKB1,1,gold_standard,
MAX,CAD,1,gold_standard,
MAX,CCNB1,-1,gold_standard,
MAZ,SP4,-1,gold_standard,
MBD3,CDK2,-1,gold_standard,
MCM6,CD40,1,gold_standard,
MDM2,TRP53,-1,gold_standard,
MDM4,TRP53,-1,gold_standard,
MECP2,DLK1,-1,gold_standard,
MECP2,IGFBP3,-1,gold_standard,
MECP2,IRAK1,-1,gold_standard,
MECP2,PER1,1,gold_standard,
MECP2,PER2,1,gold_standard,
MECP2,PRODH,-1,gold_standard,
MED1,FAM89B,1,gold_standard,
MED23,CD52,1,gold_standard,
MED23,EGR1,1,gold_standard,
MEF2A,NRF1,1,gold_standard,
MEF2A,SLC2A4,1,gold_standard,
MEF2C,BGLAP,1,gold_standard,
MEF2C,DES,1,gold_standard,
MEF2C,FRZB,1,gold_standard,
MEF2C,RUNX2,1,gold_standard,
MEF2C,SFRP2,1,gold_standard,
MEF2C,SOCS2,1,gold_standard,
MEIS1,PAX6,1,gold_standard,
MEIS1,PTCH1,1,gold_standard,
MEIS2,CDH1,1,gold_standard,
MEIS2,CDKN2B,1,gold_standard,
MEIS2,PAX6,1,gold_standard,
MEN1,AXIN2,1,gold_standard,
MEN1,GLI1,-1,gold_standard,
MEN1,JUND,-1,gold_standard,
MITF,ACP5,1,gold_standard,
MITF,CD40,1,gold_standard,
MITF,CDKN1A,1,gold_standard,
MITF,CLCN7,1,gold_standard,
MITF,DKK3,-1,gold_standard,
MITF,FOS,1,gold_standard,
MITF,IRF4,-1,gold_standard,
MITF,ITGA4,1,gold_standard,
MITF,NGFR,1,gold_standard,
MITF,OSTM1,1,gold_standard,
MITF,PAX6,1,gold_standard,
MITF,PIK3R1,1,gold_standard,
